date,HV5,HV10,HV20,HV60
2014-08-25,0.088,0.103,0.153,0.144
2014-08-26,0.089,0.099,0.153,0.144
2014-08-27,0.091,0.096,0.152,0.143
2014-08-28,0.073,0.09,0.141,0.142
2014-08-29,0.09,0.08,0.14,0.141
2014-09-01,0.059,0.081,0.113,0.141
2014-09-02,0.105,0.112,0.124,0.141
2014-09-03,0.102,0.124,0.127,0.142
2014-09-04,0.073,0.11,0.115,0.142
2014-09-05,0.076,0.118,0.121,0.142
2014-09-09,0.142,0.115,0.118,0.142
2014-09-10,0.161,0.128,0.119,0.142
2014-09-11,0.145,0.13,0.119,0.142
2014-09-12,0.14,0.128,0.116,0.139
2014-09-15,0.089,0.131,0.112,0.139
2014-09-16,0.119,0.159,0.125,0.143
2014-09-17,0.124,0.143,0.125,0.143
2014-09-18,0.129,0.13,0.125,0.142
2014-09-19,0.138,0.132,0.122,0.143
2014-09-22,0.207,0.15,0.147,0.151
2014-09-23,0.199,0.159,0.145,0.151
2014-09-24,0.245,0.189,0.159,0.155
2014-09-25,0.254,0.191,0.162,0.156
2014-09-26,0.247,0.189,0.161,0.156
2014-09-29,0.152,0.189,0.16,0.156
2014-09-30,0.154,0.17,0.16,0.156
2014-10-08,0.074,0.172,0.154,0.156
2014-10-09,0.041,0.172,0.15,0.154
2014-10-10,0.081,0.173,0.15,0.155
2014-10-13,0.089,0.129,0.144,0.156
2014-10-14,0.093,0.13,0.143,0.156
2014-10-15,0.12,0.096,0.146,0.157
2014-10-16,0.118,0.091,0.146,0.157
2014-10-17,0.109,0.092,0.145,0.157
2014-10-20,0.103,0.092,0.145,0.157
2014-10-21,0.101,0.095,0.136,0.157
2014-10-22,0.05,0.086,0.135,0.156
2014-10-23,0.063,0.089,0.137,0.156
2014-10-24,0.064,0.085,0.134,0.15
2014-10-27,0.091,0.106,0.121,0.152
2014-10-28,0.179,0.139,0.131,0.141
2014-10-29,0.211,0.146,0.12,0.144
2014-10-30,0.201,0.15,0.121,0.144
2014-10-31,0.239,0.192,0.15,0.15
2014-11-03,0.18,0.197,0.152,0.149
2014-11-04,0.198,0.195,0.152,0.143
2014-11-05,0.201,0.196,0.152,0.142
2014-11-06,0.202,0.19,0.152,0.141
2014-11-07,0.051,0.188,0.149,0.137
2014-11-10,0.21,0.192,0.175,0.148
2014-11-11,0.204,0.189,0.175,0.148
2014-11-12,0.18,0.188,0.176,0.148
2014-11-13,0.175,0.192,0.175,0.148
2014-11-14,0.186,0.164,0.174,0.147
2014-11-17,0.162,0.179,0.183,0.149
2014-11-18,0.165,0.199,0.191,0.152
2014-11-19,0.106,0.201,0.193,0.152
2014-11-20,0.115,0.2,0.19,0.152
2014-11-21,0.252,0.229,0.204,0.158
2014-11-24,0.273,0.214,0.201,0.164
2014-11-25,0.206,0.211,0.198,0.163
2014-11-26,0.164,0.231,0.206,0.169
2014-11-27,0.104,0.24,0.211,0.172
2014-11-28,0.137,0.267,0.221,0.182
2014-12-01,0.185,0.24,0.217,0.182
2014-12-02,0.292,0.272,0.267,0.209
2014-12-03,0.33,0.251,0.263,0.208
2014-12-04,0.462,0.334,0.33,0.247
2014-12-05,0.494,0.346,0.329,0.247
2014-12-08,0.461,0.371,0.351,0.264
2014-12-09,0.816,0.587,0.45,0.298
2014-12-10,0.819,0.59,0.455,0.302
2014-12-11,0.727,0.634,0.474,0.308
2014-12-12,0.724,0.632,0.473,0.309
2014-12-15,0.565,0.634,0.466,0.308
2014-12-16,0.437,0.618,0.468,0.315
2014-12-17,0.439,0.624,0.465,0.32
2014-12-18,0.357,0.552,0.47,0.321
2014-12-19,0.337,0.552,0.469,0.321
2014-12-22,0.31,0.5,0.469,0.316
2014-12-23,0.335,0.368,0.487,0.321
2014-12-24,0.382,0.419,0.524,0.335
2014-12-25,0.507,0.428,0.532,0.341
2014-12-26,0.599,0.465,0.54,0.35
2014-12-29,0.594,0.464,0.54,0.35
2014-12-30,0.547,0.43,0.519,0.35
2014-12-31,0.274,0.419,0.52,0.351
2015-01-05,0.25,0.419,0.478,0.353
2015-01-06,0.25,0.434,0.484,0.354
2015-01-07,0.261,0.435,0.457,0.353
2015-01-08,0.368,0.446,0.399,0.36
2015-01-09,0.316,0.358,0.388,0.36
2015-01-12,0.182,0.337,0.375,0.361
2015-01-13,0.182,0.263,0.377,0.361
2015-01-14,0.198,0.263,0.377,0.361
2015-01-15,0.287,0.312,0.368,0.365
2015-01-16,0.286,0.293,0.355,0.364
2015-01-19,0.853,0.582,0.527,0.431
2015-01-20,0.865,0.589,0.525,0.43
2015-01-21,0.996,0.681,0.563,0.441
2015-01-22,0.947,0.667,0.556,0.441
2015-01-23,0.95,0.669,0.53,0.441
2015-01-26,0.398,0.667,0.517,0.441
2015-01-27,0.455,0.672,0.497,0.442
2015-01-28,0.171,0.676,0.5,0.443
2015-01-29,0.187,0.644,0.501,0.446
2015-01-30,0.098,0.639,0.493,0.447
2015-02-02,0.099,0.386,0.487,0.453
2015-02-03,0.352,0.415,0.502,0.455
2015-02-04,0.352,0.263,0.503,0.455
2015-02-05,0.344,0.261,0.496,0.455
2015-02-06,0.341,0.242,0.496,0.456
2015-02-09,0.305,0.276,0.502,0.457
2015-02-10,0.242,0.295,0.507,0.457
2015-02-11,0.207,0.293,0.507,0.456
2015-02-12,0.183,0.281,0.486,0.454
2015-02-13,0.121,0.272,0.485,0.453
2015-02-16,0.098,0.214,0.308,0.453
2015-02-17,0.037,0.165,0.308,0.452
2015-02-25,0.148,0.174,0.228,0.453
2015-02-26,0.286,0.226,0.261,0.456
2015-02-27,0.295,0.216,0.258,0.455
2015-03-02,0.295,0.208,0.258,0.454
2015-03-03,0.385,0.265,0.275,0.457
2015-03-04,0.367,0.264,0.272,0.457
2015-03-05,0.213,0.269,0.268,0.446
2015-03-06,0.228,0.269,0.264,0.446
2015-03-09,0.327,0.3,0.256,0.426
2015-03-10,0.25,0.308,0.243,0.427
2015-03-11,0.255,0.298,0.238,0.415
2015-03-12,0.294,0.291,0.258,0.397
2015-03-13,0.293,0.29,0.253,0.392
2015-03-16,0.286,0.309,0.257,0.39
2015-03-17,0.181,0.243,0.255,0.391
2015-03-18,0.176,0.255,0.267,0.394
2015-03-19,0.229,0.249,0.272,0.386
2015-03-20,0.221,0.248,0.276,0.382
2015-03-23,0.21,0.239,0.278,0.382
2015-03-24,0.284,0.234,0.287,0.383
2015-03-25,0.254,0.263,0.283,0.383
2015-03-26,0.26,0.238,0.266,0.381
2015-03-27,0.228,0.238,0.264,0.37
2015-03-30,0.319,0.264,0.284,0.368
2015-03-31,0.311,0.282,0.256,0.359
2015-04-01,0.271,0.266,0.257,0.36
2015-04-02,0.29,0.261,0.251,0.36
2015-04-03,0.288,0.254,0.25,0.357
2015-04-07,0.243,0.268,0.25,0.357
2015-04-08,0.18,0.25,0.236,0.358
2015-04-09,0.227,0.237,0.244,0.358
2015-04-10,0.2,0.241,0.234,0.355
2015-04-13,0.201,0.24,0.235,0.356
2015-04-14,0.197,0.21,0.232,0.355
2015-04-15,0.184,0.178,0.232,0.355
2015-04-16,0.261,0.243,0.256,0.364
2015-04-17,0.262,0.22,0.247,0.359
2015-04-20,0.394,0.302,0.276,0.363
2015-04-21,0.393,0.293,0.275,0.286
2015-04-22,0.417,0.309,0.274,0.291
2015-04-23,0.35,0.312,0.27,0.271
2015-04-24,0.358,0.329,0.282,0.273
2015-04-27,0.316,0.338,0.287,0.277
2015-04-28,0.338,0.347,0.28,0.277
2015-04-29,0.25,0.35,0.273,0.274
2015-04-30,0.246,0.288,0.276,0.273
2015-05-04,0.222,0.282,0.272,0.269
2015-05-05,0.246,0.313,0.314,0.279
2015-05-06,0.249,0.306,0.307,0.271
2015-05-07,0.242,0.246,0.307,0.269
2015-05-08,0.263,0.25,0.304,0.266
2015-05-11,0.319,0.27,0.303,0.266
2015-05-12,0.179,0.227,0.297,0.264
2015-05-13,0.214,0.232,0.303,0.266
2015-05-14,0.189,0.232,0.304,0.265
2015-05-15,0.251,0.248,0.269,0.271
2015-05-18,0.188,0.25,0.27,0.275
2015-05-19,0.405,0.3,0.298,0.285
2015-05-20,0.395,0.299,0.295,0.285
2015-05-21,0.405,0.298,0.274,0.285
2015-05-22,0.378,0.33,0.295,0.287
2015-05-25,0.258,0.352,0.312,0.286
2015-05-26,0.23,0.352,0.299,0.286
2015-05-27,0.282,0.347,0.3,0.287
2015-05-28,0.625,0.497,0.38,0.312
2015-05-29,0.56,0.483,0.379,0.312
2015-06-01,0.608,0.504,0.41,0.32
2015-06-02,0.606,0.472,0.387,0.32
2015-06-03,0.605,0.474,0.388,0.318
2015-06-04,0.32,0.48,0.39,0.317
2015-06-05,0.312,0.46,0.39,0.317
2015-06-08,0.372,0.505,0.424,0.327
2015-06-09,0.441,0.517,0.433,0.331
2015-06-10,0.457,0.519,0.431,0.331
2015-06-11,0.449,0.375,0.432,0.331
2015-06-12,0.447,0.37,0.421,0.328
2015-06-15,0.203,0.359,0.43,0.334
2015-06-16,0.207,0.374,0.418,0.336
2015-06-17,0.258,0.377,0.419,0.336
2015-06-18,0.348,0.409,0.445,0.347
2015-06-19,0.39,0.477,0.47,0.366
2015-06-23,0.592,0.418,0.473,0.371
2015-06-24,0.622,0.439,0.477,0.372
2015-06-25,0.621,0.453,0.487,0.373
2015-06-26,0.774,0.57,0.52,0.41
2015-06-29,0.722,0.558,0.52,0.409
2015-06-30,0.893,0.717,0.561,0.433
2015-07-01,0.896,0.734,0.576,0.442
2015-07-02,0.888,0.723,0.576,0.44
2015-07-03,0.723,0.72,0.575,0.445
2015-07-06,0.873,0.776,0.63,0.463
2015-07-07,0.697,0.756,0.598,0.462
2015-07-08,0.8,0.806,0.632,0.481
2015-07-09,0.967,0.899,0.696,0.503
2015-07-10,0.881,0.805,0.717,0.51
2015-07-13,0.842,0.809,0.717,0.502
2015-07-14,0.89,0.753,0.719,0.506
2015-07-15,0.678,0.719,0.717,0.504
2015-07-16,0.435,0.713,0.715,0.503
2015-07-17,0.334,0.679,0.71,0.501
2015-07-20,0.328,0.615,0.683,0.501
2015-07-21,0.201,0.608,0.669,0.5
2015-07-22,0.216,0.484,0.667,0.497
