datetime,opt_type,short_opt_code,short_opt_volume,short_opt_price,short_opt_delta,long_opt_code,long_opt_volume,long_opt_price,long_opt_delta,profit_spread,money_ocupied,expected_return
2015-02-10 09:32:00,Call,10000041,16,0.0563,0.4133,10000001,10,0.1801,0.677,383.7157,53253.2,0.0072
2015-02-10 09:32:00,Put,10000042,10,0.1876,-0.5867,10000007,16,0.0761,-0.3754,946.0846,58758.0,0.0161
2015-02-10 09:33:00,Call,10000041,15,0.0563,0.4154,10000002,10,0.1482,0.6267,280.395,47860.5,0.0059
2015-02-10 09:33:00,Put,10000042,10,0.1876,-0.5846,10000007,16,0.0761,-0.3733,952.2345,58758.0,0.0162
2015-02-10 09:34:00,Call,10000041,14,0.0577,0.4143,10000003,10,0.1182,0.5721,517.7961,42657.8,0.0121
2015-02-10 09:34:00,Put,10000042,10,0.1876,-0.5857,10000007,16,0.0761,-0.3744,948.6209,58758.0,0.0161
2015-02-10 09:35:00,Call,10000041,14,0.0577,0.4122,10000003,10,0.1181,0.57,508.7476,42647.8,0.0119
2015-02-10 09:36:00,Call,10000041,14,0.0577,0.4132,10000003,10,0.1167,0.5711,658.4983,42507.8,0.0155
2015-02-10 09:36:00,Put,10000042,10,0.1876,-0.5868,10000007,16,0.0761,-0.3754,944.7443,58758.0,0.0161
2015-02-10 09:37:00,Call,10000041,12,0.0577,0.4185,10000004,10,0.0925,0.5227,528.1074,35682.4,0.0148
2015-02-10 09:37:00,Put,10000042,10,0.1876,-0.5815,10000008,14,0.0951,-0.4236,1193.9932,59896.0,0.0199
2015-02-10 09:38:00,Call,10000001,10,0.1871,0.6847,10000002,11,0.1482,0.6328,579.5233,62534.0,0.0093
2015-02-10 09:38:00,Put,10000042,10,0.1876,-0.5783,10000008,14,0.0951,-0.4205,1199.787,59896.0,0.02
2015-02-10 09:39:00,Put,10000042,10,0.1819,-0.5741,10000008,14,0.0946,-0.4162,708.3775,59826.0,0.0118
2015-02-10 09:40:00,Put,10000042,10,0.1809,-0.5741,10000007,16,0.0736,-0.3631,716.8489,58358.0,0.0123
2015-02-10 09:41:00,Call,10000001,10,0.1919,0.6895,10000002,11,0.1501,0.6379,847.8423,62743.0,0.0135
2015-02-10 09:41:00,Put,10000006,17,0.0599,-0.3105,10000010,10,0.144,-0.5216,554.7986,51052.0,0.0109
2015-02-10 09:42:00,Call,10000001,10,0.1919,0.6895,10000002,11,0.1501,0.6379,847.7542,62743.0,0.0135
2015-02-10 09:42:00,Put,10000042,10,0.183,-0.5731,10000009,12,0.1165,-0.4687,1002.9466,60562.0,0.0166
2015-02-10 09:43:00,Call,10000001,10,0.1901,0.6886,10000002,11,0.1501,0.6369,668.0921,62743.0,0.0106
2015-02-10 09:43:00,Put,10000042,10,0.183,-0.5741,10000009,12,0.1165,-0.4698,999.8127,60562.0,0.0165
2015-02-10 09:44:00,Call,10000041,14,0.0604,0.4269,10000003,10,0.124,0.5848,428.2823,43237.8,0.0099
2015-02-10 09:45:00,Call,10000041,12,0.0608,0.4258,10000004,10,0.0962,0.5302,588.5151,36052.4,0.0163
2015-02-10 09:46:00,Call,10000041,12,0.0607,0.4237,10000004,10,0.0961,0.5281,570.0727,36042.4,0.0158
