Date,open,high,low,close,pre_close
2015-01-05,2.58,2.655,2.555,2.622,2.552
2015-01-06,2.6,2.651,2.561,2.592,2.622
2015-01-07,2.575,2.622,2.558,2.588,2.592
2015-01-08,2.599,2.61,2.51,2.518,2.588
2015-01-09,2.51,2.644,2.496,2.524,2.518
2015-01-12,2.553,2.555,2.458,2.5,2.524
2015-01-13,2.5,2.524,2.471,2.485,2.5
2015-01-14,2.495,2.53,2.466,2.494,2.485
2015-01-15,2.494,2.59,2.475,2.586,2.494
2015-01-16,2.598,2.634,2.581,2.604,2.586
2015-01-19,2.43,2.465,2.344,2.344,2.604
2015-01-20,2.341,2.4,2.316,2.361,2.344
2015-01-21,2.386,2.517,2.372,2.503,2.361
2015-01-22,2.51,2.515,2.462,2.499,2.503
2015-01-23,2.514,2.569,2.499,2.524,2.499
2015-01-26,2.531,2.531,2.485,2.519,2.524
2015-01-27,2.529,2.532,2.436,2.478,2.519
2015-01-28,2.452,2.493,2.435,2.442,2.478
2015-01-29,2.403,2.422,2.379,2.4,2.442
2015-01-30,2.415,2.433,2.358,2.367,2.4
2015-02-02,2.301,2.342,2.293,2.299,2.367
2015-02-03,2.329,2.378,2.3,2.367,2.299
2015-02-04,2.375,2.404,2.331,2.334,2.367
2015-02-05,2.42,2.426,2.313,2.316,2.334
2015-02-06,2.311,2.333,2.27,2.291,2.316
2015-02-09,2.291,2.359,2.28,2.331,2.291
2015-02-10,2.331,2.374,2.321,2.369,2.331
2015-02-11,2.371,2.388,2.359,2.38,2.369
2015-02-12,2.379,2.391,2.351,2.384,2.38
2015-02-13,2.39,2.429,2.382,2.39,2.384
2015-02-16,2.39,2.403,2.379,2.394,2.39
2015-02-17,2.401,2.429,2.401,2.411,2.394
2015-02-25,2.411,2.411,2.359,2.37,2.411
2015-02-26,2.368,2.452,2.348,2.45,2.37
2015-02-27,2.447,2.465,2.428,2.438,2.45
2015-03-02,2.456,2.46,2.424,2.441,2.438
2015-03-03,2.427,2.427,2.36,2.364,2.441
2015-03-04,2.368,2.381,2.342,2.362,2.364
2015-03-05,2.345,2.351,2.312,2.334,2.362
2015-03-06,2.335,2.361,2.333,2.339,2.334
2015-03-09,2.3,2.41,2.289,2.397,2.339
2015-03-10,2.381,2.389,2.355,2.359,2.397
2015-03-11,2.363,2.41,2.362,2.374,2.359
2015-03-12,2.404,2.472,2.388,2.448,2.374
2015-03-13,2.458,2.495,2.44,2.455,2.448
2015-03-16,2.472,2.513,2.451,2.51,2.455
2015-03-17,2.537,2.549,2.519,2.543,2.51
2015-03-18,2.55,2.614,2.55,2.611,2.543
2015-03-19,2.604,2.61,2.575,2.587,2.611
2015-03-20,2.599,2.668,2.576,2.635,2.587
2015-03-23,2.656,2.683,2.647,2.676,2.635
2015-03-24,2.676,2.678,2.608,2.638,2.676
2015-03-25,2.63,2.649,2.582,2.604,2.638
2015-03-26,2.59,2.673,2.577,2.643,2.604
2015-03-27,2.65,2.673,2.621,2.649,2.643
2015-03-30,2.674,2.752,2.661,2.74,2.649
2015-03-31,2.783,2.815,2.7,2.707,2.74
2015-04-01,2.713,2.767,2.71,2.753,2.707
2015-04-02,2.78,2.784,2.704,2.739,2.753
2015-04-03,2.726,2.776,2.724,2.773,2.739
2015-04-07,2.799,2.847,2.788,2.842,2.773
2015-04-08,2.855,2.911,2.83,2.898,2.842
2015-04-09,2.911,2.978,2.867,2.877,2.898
2015-04-10,2.878,2.948,2.867,2.936,2.877
2015-04-13,2.99,3.009,2.965,2.991,2.936
2015-04-14,2.991,3.024,2.966,2.999,2.991
2015-04-15,2.999,3.078,2.987,3.011,2.999
2015-04-16,3.023,3.147,2.982,3.145,3.011
2015-04-17,3.24,3.246,3.157,3.185,3.145
2015-04-20,3.203,3.232,3.09,3.103,3.185
2015-04-21,3.11,3.15,3.079,3.141,3.103
2015-04-22,3.171,3.248,3.147,3.241,3.141
2015-04-23,3.25,3.256,3.185,3.212,3.241
